HkeyDateTime,Status
20250526043212,Close
20250526043212,Open
20250526043213,Open
20250526043214,Open
20250526043214,Open
20250526043215,Close
20250526043215,Close
20250526043215,Close
20250526043258,Close
20250526043551,Stopped
20250526044232,Running
20250526044819,Normal
20250526045021,Discrepancy
20250526045058,Open
20250526045140,Open
320250526045152,Alarm
20250526045436,Normal
20250526045730,Open
320250526050110,Normal
20250526050202,Close
20250526050223,Close
20250526050226,Close
20250526050227,Close
20250526050235,Close
20250526050426,Close
20250526050427,Close
20250526050430,MidTravel
20250526050430,Close
20250526050430,Close
20250526050431,Close
20250526050431,Close
20250526050432,Close
20250526050432,Close
20250526050433,MidTravel
20250526050433,Close
20250526050439,Close
20250526050439,Close
20250526050444,Close
20250526050447,Close
20250526050450,Close
20250526050458,Close
20250526050500,Close
20250526050508,Close
20250526050513,Close
20250526050525,Close
20250526050529,Close
20250526050543,Close
20250526050543,Close
20250526050545,Close
20250526050545,Close
20250526050547,Close
20250526050548,Close
20250526050549,Close
20250526050555,Close
20250526050911,Open
20250526050911,Open
20250526050924,Close
20250526050934,Close
20250526050941,Close
20250526051005,Open
20250526051040,Open
20250526051043,MidTravel
20250526051051,Close
120250526051233,Stopped
20250526051349,Close
20250526052107,Open
20250526052126,Close
20250526052232,Close
20250526052247,Discrepancy
20250526052254,Open
20250526052547,Close
20250526052633,Close
20250526052912,Close
20250526053213,Close
20250526053232,Open
20250526053233,Open
20250526053237,Open
20250526053237,Open
20250526053243,Open
20250526053244,Close
20250526053244,Close
20250526053245,Close
20250526053245,Close
20250526053247,Close
20250526053250,Close
20250526053250,Close
20250526053445,Close
20250526053445,Close
20250526053446,Close
20250526053447,Close
20250526053447,MidTravel
20250526053448,Close
20250526053448,Close
20250526053448,Close
20250526053449,Close
20250526053450,Close
20250526053450,Open
20250526053450,Open
20250526053450,Open
20250526053450,Close
20250526053451,Close
20250526053452,Close
20250526053452,Close
20250526053453,Close
20250526053454,Close
20250526053455,Close
20250526053456,Close
20250526053456,Close
20250526053459,Close
20250526053500,Close
20250526053501,Close
20250526053637,Close
20250526053640,Close
20250526053641,Close
20250526053643,Close
20250526053646,Close
20250526053707,Open
20250526053707,Open
20250526053708,Open
20250526053739,Open
20250526053751,Normal
20250526054325,Close
20250526054428,Running
20250526050036,Stopped
20250526050159,Close
20250526050202,Close
20250526050225,Close
20250526050226,Close
20250526050227,Close
20250526050414,Close
20250526050426,Close
20250526050428,Close
20250526050430,Open
20250526050430,Close
20250526050431,Close
20250526050431,Close
20250526050431,Close
20250526050432,Close
20250526050432,Close
20250526050433,MidTravel
20250526050433,Close
20250526050439,Close
20250526050439,Close
20250526050444,Close
20250526050447,Close
20250526050453,Close
20250526050459,Close
20250526050504,Close
20250526050508,Close
20250526050513,Close
20250526050525,Close
20250526050542,Close
20250526050543,Close
20250526050544,Close
20250526050545,Close
20250526050545,Close
20250526050547,Close
20250526050548,Close
20250526050549,Close
20250526050556,Close
20250526050911,Open
20250526050912,Open
20250526050930,Close
20250526050934,Close
20250526050945,MidTravel
320250526051015,Alarm
20250526051040,Open
20250526051046,Close
20250526051108,Close
20250526051253,Open
320250526051426,Alarm
20250526052107,Open
20250526052149,Close
20250526052233,Close
20250526052247,Open
320250526052414,Alarm
20250526052601,Close
320250526052646,Normal
320250526052954,Alarm
20250526053214,Close
20250526053233,Open
20250526053233,Open
20250526053237,Open
20250526053237,Open
20250526053244,Open
20250526053244,Close
20250526053244,Close
20250526053245,Close
20250526053246,Close
20250526053248,Discrepancy
20250526053250,Close
20250526053330,Close
20250526053445,Close
20250526053445,Close
20250526053446,Close
20250526053447,Close
20250526053447,Close
20250526053448,Close
20250526053448,Close
20250526053448,Close
20250526053449,Close
20250526053450,Discrepancy
20250526053450,Open
20250526053450,Open
20250526053450,Close
20250526053451,Close
20250526053451,Close
20250526053452,Close
